season,week,date,rhubarb,green garlic,garlic scapes,garlic,salad mix,mizuna,scarlet frill,arugula,kale,purple kale,kale rapini,baby kale,tokyo bekana,spinach,red spinach,chard,sugarloaf chicory,frisee,purslane,collard greens,alkindus lettuce,romaine lettuce,lollo lettuce,salanova lettuce,mini lettuce,butter lettuce,lettuce,mint,chives,marjoram,lemon balm,dill,cilantro,parsley,basil,oregano,thyme,sage,lavender,hirosaki turnips,hakurei turnips,purple top turnips,salad turnip,parsnip,radishes,daikon radish,purple daikon,crunchy king radish,kohlrabi,peas,snow peas,sugar snap peas,carrot,baby carrots,potatoes,beet,rutabaga,broccoli,purple sprouting broccoli,broccolini,gai lan,bok choy,joi choi,tah tsai,zucchini,cucumber,mini cucumbers,mini cucamelon,fennel,leek,green onion,onion,red onion,fava beans,dragon bean,green bean,beans,varaflex cabbage,green cabbage,cabbage,napa cabbage,celery,jalapeno,shishito,hot pepper,padron pepper,bell pepper,cherry tomato,tasti-lee tomato,tomato,heirloom tomato,green tomato,tomatillo,eggplant,squash
1,1,"Jun 3, 2022",x,x,,,,x,x,,,,,,x,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,"Jun 10, 2022",,,,,x,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,"Jun 17, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,"Jun 24, 2022",,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,x,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,"Jun 30, 2022",,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,"Jul 8, 2022",,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,,,,x,,,x,x,,,,,,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
1,7,"Jul 15, 2022",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,
1,8,"Jul 22, 2022",,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
1,9,"Jul 29, 2022",,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,x,,,,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
1,10,"Aug 5, 2022",,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
2,1,"Aug 12, 2022",,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,x,x,x,,,,,,x,x,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
2,2,"Aug 19, 2022",,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,
2,3,"Aug 26, 2022",,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,
2,4,"Sep 2, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x,x,,x,,,,,,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,
2,5,"Sep 9, 2022",,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,
2,6,"Sep 16, 2022",,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,
2,7,"Sep 23, 2022",,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,x,
2,8,"Sep 29, 2022",,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,x,,,,x,,,,,,,,,,,,x,,,x,,,,,x,,,,,
2,9,"Oct 7, 2022",,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,
2,10,"Oct 14, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,x
1,1,"Jun 2, 2023",x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,"Jun 9, 2023",,,x,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
